Name,0,5,10,25,50,100,200,400,600,800,1000,1250,1500,1750,2000,2500,3000,4000,5000,7500,10000,15000,20000,50000
seatoxin,81.9,81.95,81.95,82.02,82.27,,,,,,,,,,,,,,,,,,,
hip,83.5,81.88,81.77,82.04,83.32,86.9,,,,,,,,,,,,,,,,,,
scorptoxin,92.9,92.9,92.37,92.33,91.46,90.91,90.02,,,,,,,,,,,,,,,,,
cyt3,82.1,81.55,81.72,81.65,80.8,81.93,81.78,,,,,,,,,,,,,,,,,
rnasemam,93.8,93.88,94.1,95,94.36,93.92,94.02,93.32,,,,,,,,,,,,,,,,
bowman,91.3,89.01,89.3,89.52,90.69,91.73,90.76,90.93,,,,,,,,,,,,,,,,
toxin,92.2,92.48,92.1,92.07,88.96,87.82,87.33,86.87,,,,,,,,,,,,,,,,
ghf11,92.9,93.15,91.79,92.35,90.53,89.7,91.37,91.62,,,,,,,,,,,,,,,,
TNF,87.8,86.67,84.9,84.73,84.42,87.08,84.82,83.54,,,,,,,,,,,,,,,,
sti,82.4,78.87,81.21,78.23,80.66,80.69,80.92,78.03,78.36,,,,,,,,,,,,,,,
Stap_Strp_toxin,69.6,70.05,73.06,73.37,72.63,74.44,78.29,77.39,76.85,,,,,,,,,,,,,,,
profilin,94.8,94.81,91.33,91.29,90.71,89.21,87.54,85.26,85.68,,,,,,,,,,,,,,,
ricin,89.3,90.28,90.55,91.51,92.51,91.96,90.71,91.25,90.59,,,,,,,,,,,,,,,
ghf22,97.6,97.34,97.41,97.52,97,95.72,96.78,96.49,96.62,,,,,,,,,,,,,,,
ChtBD,93.2,95.28,95.55,96,95.89,95.3,93.41,93.45,92.47,,,,,,,,,,,,,,,
ins,92.97,89.03,92.24,88.29,89.56,91.05,96.27,94.79,93.96,,,,,,,,,,,,,,,
trfl,97.6,97.53,97.4,97.11,93.9,97.35,97.29,93.2,80.44,88.39,,,,,,,,,,,,,,
slectin,92.3,93.31,93.08,93.25,93.19,91.94,91.61,93.96,90.4,86.92,,,,,,,,,,,,,,
phoslip,92.52,92.64,93.15,93.23,93.11,93.48,93.41,92.71,92.67,93.46,,,,,,,,,,,,,,
ltn,95.2,95.04,95.24,94.61,93.85,93.5,92.67,91.15,90.15,88.59,90.09,,,,,,,,,,,,,
il8,86,87.09,90.88,91.23,87.81,85.35,87.23,87.42,86.34,83.75,84.94,,,,,,,,,,,,,
az,75.7,75.04,74.94,75.77,73.07,72.08,72.44,72.76,70.43,71.83,70.13,,,,,,,,,,,,,
